bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0395,0.04884865,50.12,49.34,52.99
0396,0.06435133,66.02,64.99,68.26
0397,0.04708776,48.31,47.56,51.26
0398,0.0526316,54.0,53.16,56.72
0399,0.05800052,59.51,58.58,62.01
0400,0.06072234,62.3,61.33,64.69
0401,0.06284761,64.48,63.48,66.78
0402,0.06131736,62.91,61.93,65.28
0403,0.05880585,60.33,59.39,62.8
0404,0.05083831,52.16,51.35,54.95
0405,0.06936514,71.17,70.06,73.2
0406,0.05875148,60.28,59.34,62.75
0407,0.0565626,58.03,57.13,60.59
0408,0.05535131,56.79,55.9,59.4
0409,0.07416566,76.09,74.91,77.93
0410,0.06284659,64.48,63.48,66.78
0411,0.05604814,57.51,56.61,60.08
0412,0.07012645,71.95,70.83,73.95
0413,0.06468929,66.37,65.34,68.6
0414,0.05577796,57.23,56.34,59.82
0415,0.08183321,83.96,82.65,85.49
0416,0.06685063,68.59,67.52,70.73
0417,0.05649488,57.96,57.06,60.52
0418,0.06036662,61.94,60.97,64.34
0419,0.05432915,55.74,54.87,58.39
0420,0.0568568,58.34,57.43,60.88
0421,0.05989786,61.46,60.5,63.88
0422,0.06214171,63.76,62.76,66.09
0423,0.05479386,56.22,55.34,58.85
0424,0.05769367,59.19,58.27,61.71
0425,0.06730222,69.05,67.98,71.17
0426,0.0559603,57.42,56.52,60.0
0427,0.05780867,59.31,58.39,61.82
0428,0.05802397,59.53,58.6,62.03
0429,0.06117431,62.76,61.79,65.13
0430,0.06702807,68.77,67.7,70.9
0431,0.05551687,56.96,56.07,59.56
0432,0.04933641,50.62,49.83,53.47
0433,0.06791462,69.68,68.59,71.77
0434,0.05172436,53.07,52.24,55.82
0435,0.04971699,51.01,50.21,53.85
0436,0.05651945,57.99,57.08,60.55
0437,0.07573763,77.71,76.5,79.48
0438,0.06465154,66.33,65.3,68.56
0439,0.0533627,54.75,53.9,57.44
0440,0.05519611,56.63,55.75,59.24
0441,0.06812783,69.9,68.81,71.99
0442,0.06749537,69.25,68.17,71.36
0443,0.04462222,45.78,45.07,48.83
0444,0.05827985,59.8,58.86,62.28
0445,0.06468033,66.36,65.33,68.59
0446,0.06340873,65.06,64.04,67.34
0447,0.0630083,64.65,63.64,66.94
0448,0.05548261,56.93,56.04,59.53
0449,0.05461825,56.04,55.16,58.68
0450,0.05427408,55.69,54.82,58.34
0451,0.05683706,58.31,57.41,60.86
0452,0.06626701,67.99,66.93,70.15
0453,0.06367732,65.33,64.31,67.6
0454,0.06096855,62.55,61.58,64.93
0455,0.05409499,55.5,54.64,58.16
0456,0.06807812,69.85,68.76,71.94
0457,0.05856184,60.08,59.15,62.56
0458,0.06109842,62.69,61.71,65.06
0459,0.05272811,54.1,53.26,56.81
0460,0.06437399,66.05,65.02,68.29
0461,0.05385919,55.26,54.4,57.93
0462,0.06501795,66.71,65.67,68.92
0463,0.07540645,77.37,76.16,79.16
0464,0.06044318,62.01,61.05,64.41
0465,0.07010152,71.92,70.8,73.93
0466,0.05355823,54.95,54.09,57.63
0467,0.06793368,69.7,68.61,71.79
0468,0.05954901,61.1,60.14,63.53
0469,0.06391439,65.58,64.55,67.83
0470,0.05818576,59.7,58.77,62.19
0471,0.05034323,51.65,50.85,54.46
0472,0.05493726,56.37,55.49,58.99
0473,0.07904574,81.1,79.84,82.74
0474,0.05856299,60.09,59.15,62.56
0475,0.05313139,54.51,53.66,57.21
0476,0.06524213,66.94,65.89,69.14
0477,0.05710598,58.59,57.68,61.13
0478,0.05780188,59.3,58.38,61.81
0479,0.07149063,73.35,72.21,75.3
0480,0.05609583,57.55,56.66,60.13
0481,0.06483086,66.52,65.48,68.74
0482,0.0588112,60.34,59.4,62.81
0483,0.04884083,50.11,49.33,52.98
0484,0.05774621,59.25,58.32,61.76
0485,0.04955128,50.84,50.05,53.68
0486,0.05685317,58.33,57.42,60.88
0487,0.05893716,60.47,59.53,62.93
0488,0.05797539,59.48,58.56,61.98
0489,0.06280541,64.44,63.43,66.74
0490,0.06156518,63.17,62.18,65.52
0491,0.07602478,78.0,76.79,79.77
0492,0.06733151,69.08,68.0,71.2
0493,0.06250745,64.13,63.13,66.45
0494,0.05935172,60.89,59.95,63.34
0495,0.05629116,57.75,56.85,60.32
0496,0.0514848,52.82,52.0,55.59
0497,0.06140667,63.0,62.02,65.36
0498,0.05274252,54.11,53.27,56.83
0499,0.05995193,61.51,60.55,63.93
0500,0.05798727,59.49,58.57,61.99
0501,0.06033728,61.91,60.94,64.31
0502,0.06319845,64.84,63.83,67.13
0503,0.06383716,65.5,64.48,67.76
0504,0.06691795,68.66,67.59,70.79
0505,0.06796848,69.74,68.65,71.83
0506,0.05480711,56.23,55.36,58.86
0507,0.06444591,66.12,65.09,68.36
0508,0.06283901,64.47,63.47,66.77
0509,0.05584896,57.3,56.41,59.89
0510,0.05145073,52.79,51.97,55.55
0511,0.04688377,48.1,47.35,51.05
0512,0.06047561,62.05,61.08,64.45
0513,0.05738498,58.88,57.96,61.4
0514,0.0678054,69.57,68.48,71.67
0515,0.0508213,52.14,51.33,54.93
0516,0.05675293,58.23,57.32,60.78
0517,0.066075,67.79,66.74,69.96
0518,0.07343019,75.34,74.16,77.21
0519,0.05918479,60.72,59.78,63.17
0520,0.05592046,57.37,56.48,59.96
0521,0.05193256,53.28,52.45,56.03
0522,0.06600045,67.72,66.66,69.89
0523,0.05762932,59.13,58.21,61.64
0524,0.05445877,55.87,55.0,58.52
0525,0.06513968,66.83,65.79,69.04
0526,0.06858205,70.37,69.27,72.43
0527,0.06436306,66.04,65.01,68.28
0528,0.05943588,60.98,60.03,63.42
0529,0.05639464,57.86,56.96,60.43
0530,0.05147086,52.81,51.99,55.57
0531,0.05513518,56.57,55.69,59.18
0532,0.06234022,63.96,62.96,66.28
0533,0.05670034,58.17,57.27,60.73
0534,0.06360292,65.26,64.24,67.53
0535,0.06201562,63.63,62.64,65.96
0536,0.04967765,50.97,50.17,53.81
0537,0.04730848,48.54,47.78,51.47
0538,0.05273005,54.1,53.26,56.81
0539,0.06856952,70.35,69.26,72.42
0540,0.05614953,57.61,56.71,60.18
0541,0.05668854,58.16,57.26,60.71
0542,0.05691535,58.4,57.48,60.94
0543,0.06712256,68.87,67.79,70.99
0544,0.06567777,67.39,66.33,69.57
0545,0.05995766,61.52,60.56,63.94
0546,0.05969378,61.25,60.29,63.68
0547,0.05888043,60.41,59.47,62.87
0548,0.06546614,67.17,66.12,69.36
